000.1;KETATAUSAHAAN DAN KERUMAHTANGGAAN
500.15.3.4;Pengembangan Program Pelatihan Produktivitas dan Kewirausahaan
500.15.3.5;Pengembangan Program Pelatihan Ketransmigrasian
500.15.4;Bina Lembaga dan Sarana Pelatihan Kerja
500.15.4.1;Akreditasi dan Sistem Informasi Kelembagaan
500.15.4.2;Pengembangan Sarana dan Fasilitas Lembaga Pelatihan
500.15.4.3;Pengembangan Standar Mutu (PSM) Lembaga Pelatihan
500.15.4.4;Sistem Pendanaan dan Kerjasama Antar Lembaga
500.15.5;Bina Instruktur dan Tenaga Pelatihan
500.15.5.1;Instruktur dan PSM Lembaga Pelatihan Pemerintah
500.15.5.2;Instruktur Lembaga Pelatihan Swasta
500.15.5.3;Tenaga Pelatihan
500.15.5.4;Sistem Informasi Instruktur, PSM, dan Tenaga Pelatihan
500.15.6;Bina Pemagangan
500.15.6.1;Pemagangan Dalam Negeri
500.15.6.2;Pemagangan Luar Negeri
500.15.6.3;Perizinan dan Advokasi Pemagangan
500.15.6.4;Promosi dan Jenjang Pemagangan
500.15.7;Produktivitas dan Kewirausahaan
500.15.7.1;Pengembangan Promosi dan Kerjasama Produktivitas dan Kewirausahaan
500.15.7.2;Pengembangan Sistem dan Peningkatan Produktivitas
500.15.7.3;Pengembangan Pengukuran dan Kajian Produktivitas
500.15.7.4;Pengembangan Kewirausahaan
500.15.8;Pengembangan Pasar Kerja
500.15.8.1;Informasi Pasar Kerja
500.15.8.2;Analisis Pasar Kerja 
500.15.8.3;Bursa Kerja
500.15.8.4;Analisis Jabatan
500.15.9;Penempatan Tenaga Kerja Dalam Negeri
500.15.9.1;Antar Kerja
500.15.9.2;Penempatan Tenaga Kerja Khusus
500.15.9.3;Penyuluhan dan Bimbingan Jabatan
500.15.9.4;Pemberdayaan Pengantar Kerja
500.15.10;Perluasan Kesempatan Kerja dan Pengembangan Tenaga Kerja Sektor Informal
500.15.10.1;Tenaga Kerja Mandiri dan Sektoral Informal
500.15.10.2;Pengembangan Padat Karya
500.15.10.3;Terapan Teknologi Tepat Guna
500.15.10.4;Pemberdayaan Pendampingan dan Kerjasama Antar Lembaga
500.15.11;Standardisasi Profesi
500.15.11.1;Sistem Informasi dan Registrasi
500.15.11.2;Pembakuan Akreditasi
500.15.12;Persyaratan Kerja, Kesejahteraan, dan Analisis Diskriminasi
500.15.12.1;Peraturan Perusahaan dan Perjanjian Kerjasama Bersama
500.15.12.2;Perjanjian Kerja
500.15.12.3;Kesejahteraan Pekerja
500.15.12.4;Analisis Diskriminasi Syarat Kerja
500.15.13;Kelembagaan dan Pemasyarakatan Hubungan Industrial
500.15.13.1;Organisasi Pekerja dan Pengusaha
500.15.13.2;Kelembagaan Hubungan Industrial
500.15.13.3;Pemasyarakatan Hubungan Industrial
500.15.14;Pengupahan dan Penyelesaian Perselisihan Hubungan Industrial 
500.15.14.1;Pengupahan
500.15.14.2;Jaminan Sosial Tenaga Kerja Dalam Hubungan Kerja 
500.15.15;Pencegahan dan Penyelesaian Pelestarian Hubungan Industrial
500.15.15.1;Pencegahan Perselisihan Hubungan Industrial
500.15.15.2;Penyelenggaraan Penyelesaian Perselisihan Hubungan Industrial
500.15.15.3;Pemberdayaan Kelembagaan dan Tenaga Penyelesaian Perselisihan Hubungan Industrial
500.15.16;Pengawasan Norma Kerja dan Jaminan Sosial Tenaga Kerja 
500.15.16.1;Pengawasan Norma Kerja
500.15.16.2;Pengawasan Norma Hubungan Kerja dan Perlindungan Berserikat
500.15.16.3;Pengawasan Norma Penempatan dan Latihan Tenaga Kerja
500.15.17;Pengawasan Norma Kerja Perempuan dan Anak
500.15.17.1;Pengawasan Norma Kerja Perempuan
500.15.17.2;Pengawasan Norma Kerja Anak
500.15.17.3;Kerjasama Lintas Sektoral
500.15.17.4;Advokasi Tenaga Kerja Perempuan dan Anak
500.15.18;Pengawasan Norma Keselamatan dan Kesehatan Kerja
500.15.18.1;Pengawasan Norma Mekanik, Pesawat Uap dan Bejana Tekan
500.15.18.2;Pengawasan Norma Konstruksi Bangunan, Listrik dan Penanggulangan Kebakaran 
500.15.18.3;Pengawasan Norma Kesehatan Kerja
500.15.18.4;Pengawasan Norma Lingkungan Kerja dan Bahan Berbahaya
500.15.18.5;Pengawasan Norma Kelembagaan, Keahlian dan Sistem Manajemen K3
500.15.19;Laporan Hasil Pengawasan Ketenagaakerjaan
500.15.20;Bina Penegakan Hukum
500.15.20.1;Pemeriksaan Norma Ketenagakerjaan
500.15.20.2;Penyidikan Norma Ketenagakerjaan
500.15.20.3;Pengembangan Penyidik Pegawai Negeri Sipil
500.15.20.4;Kerjasama Penegakan Hukum
500.15.21;Pengkajian dan Bimbingan Teknis Pelayanan Keselamatan dan Kesehatan Kerja (K3)
500.15.21.1;Analisis dan Standardisasi bidang K 3
500.15.21.2;Hasil kajian, perekayasaan dan penerapan teknologi dan alih teknologi K 3
500.15.21.3;Bimbingan Teknis dan Evaluasi Pengkajian K 3
500.15.21.4;Bimbingan Teknis dan Evaluasi Pelayanan K3
500.15.22;Pengembangan SDM dan Kompetensi K3
500.15.22.1;Program, Analisis dan Standardisasi Pengembangan SDM dan Kompetensi K3
500.15.22.2;Penyebarluasan Informasi Pengembangan SDM dan Kompetensi K3
500.15.22.3;Kerjasama Tingkat Nasional Bidang Pengembangan SDM dan Kompetensi K3
500.15.22.4;Kerjasama Tingkat Regional Bidang Pengembangan SDM dan Kompetensi K3
500.15.22.5;Kerjasama Tingkat Internasional Bidang Pengembangan SDM dan Kompetensi K3
500.15.22.6;Bimbingan Teknis dan Evaluasi Pengembangan SDM dan Kompetensi K3
500.16;PENANAMAN MODAL
500.16.1;Kebijakan di bidang Penanaman Modal yang dilakukan oleh Pemerintah Daerah                
500.16.2;Perencanaan Penanaman Modal
500.16.2.1;Perencanaan Industri Agribisnis dan Sumber Daya Alam Lainnya
500.16.2.2;Perencanaan Industri Manufaktur
500.16.2.3;Perencanaan Jasa dan Kawasan
500.16.2.4;Perencanaan Infrastruktur
500.16.3;Pengembangan Iklim Penanaman Modal
500.16.3.1;Deregulasi Penanaman Modal
500.16.3.2;Pengembangan Potensi Daerah
500.16.3.3;Pemberdayaan Usaha
500.16.3.4;Pemberdayaan Usaha Pembinaan dan Penyuluhan
500.16.3.5;Pemberdayaan Usaha Kemitraan Usaha
500.16.3.6;Pemberdayaan Usaha Pelayanan Usaha
500.16.4;Promosi Penanaman Modal
500.16.4.1;Pengembangan Promosi
500.16.4.2;Analisis Strategi Promosi
500.16.4.3;Fasilitasi Promosi Luar Negeri
500.16.4.4;Promosi Sektoral
500.16.4.5;Fasilitasi Promosi Daerah
500.16.4.6;Pameran dan Sarana Promosi
500.16.5;Kerja Sama Penanaman Modal
500.16.5.1;Kerja Sama Bilateral dan Mulitilateral
500.16.5.2;Kerja Sama Regional
500.16.5.3;Kerja Sama Dunia Usaha Internasional
500.16.6;Pengendalian Pelaksanaan Penanaman Modal
500.16.6.1;Pemantauan Penanaman Modal
500.16.6.2;Data Realisasi Penanaman Modal
500.16.6.3;Bimbingan Sosialisasi Ketentuan Penanaman Modal
500.16.6.4;Fasilitasi Penyelesaian Masalah
500.16.6.5;Pengawasan Penanaman Modal
500.16.6.6;Pencabutan/Pembatalan Perizinan Penanaman Modal
500.16.7;Pelayanan Penanaman Modal
500.16.7.1;Pelayanan Aplikasi
500.16.7.2;Pelayanan Perijinan
500.16.7.3;Pelayanan Konsultasi Perijinan
500.16.7.4;Pelayanan Non Perijinan
500.16.7.5;Pelayanan Fasilitas
500.17;PERTANAHAN
500.17.1;Kebijakan di bidang Pertanahan yang dilakukan oleh Pemerintah Daerah
500.17.2;Pengadaan dan Penataan Administrasi Pertanahan
500.17.2.1;Fasilitasi Pengadaan Tanah
500.17.2.2;Pembinaan dan Pengendalian Administrasi Pertanahan
500.17.2.3;Data dan Informasi Pertanahan
500.17.2.4;Advokasi dan Pengendalian
500.17.3;Penatagunaan dan Penguatan Hak Atas Tanah
500.17.3.1;Penatagunaan Tanah 
500.17.3.2;Data dan Pemetaan Tematik
500.17.3.3;Penguatan Atas Tanah
500.17.4;Sengketa Tanah
500.17.4.1;Pengkajian dan Penanganan Sengketa
500.17.4.2;Advokasi dan Pengendalian
500.18;TRANSMIGRASI
500.18.1;Kebijakan di bidang Transmigrasi yang dilakukan oleh Pemerintah Daerah
500.18.2;Penyediaan Tanah Transmigrasi
500.18.2.1;Fasilitasi Pengadaan Tanah
500.18.2.2;Pengurusan Legalitas Tanah
500.18.2.3;Dokumentasi Pertanahan
500.18.2.4;Advokasi Pertanahan
500.18.3;Pembangunan Pemukiman dan Infrastruktur Kawasan Transmigrasi
500.18.3.1;Penyiapan Lahan
500.18.3.2;Penyiapan Sarana
500.18.3.3;Penyiapan Prasarana
500.18.3.4;Evaluasi Kelayakan Permukiman
500.18.4;Fasilitasi Penempatan Transmigrasi
500.18.4.1;Penyiapan Calon Transmigrasi
500.18.4.2;Penyiapan Perpindahan
500.18.4.3;Pelaksanaan Perpindahan
500.18.4.4;Penataan dan Adaptasi
500.18.5;Partisipasi Masyarakat
500.18.5.1;Promosi dan Motivasi
500.18.5.2;Kerjasama Kelembagaan
500.18.5.3;Kerjasama Antar Daerah
500.18.5.4;Pelayanan Investasi
500.18.6;Pembinaan Pengembangan Masyarakat dan Kawasan Transmigrasi
500.18.6.1;Perencanaan Teknis Pengembangan Masyarakat dan Kawasan
500.18.6.2;Bina Sistem Informasi
500.18.6.3;Perencanaan Pengembangan Kawasan
500.18.6.4;Perencanaan Pengembangan Masyarakat
500.18.6.5;Perencanaan Pengembangan Pusat Pertumbuhan
500.18.7;Peningkatan Kapasitas Sumber Daya Manusia dan Masyarakat
500.18.7.1;Bantuan Pangan dan Kesehatan
500.18.7.2;Fasilitas Sosial Budaya
500.18.7.3;Pengembangan Kelembagaan
500.18.7.4;Bina Pendampingan Masyarakat Transmigrasi
500.18.8;Pengembangan Usaha
500.18.8.1;Kewirausahaan
500.18.8.2;Produksi
500.18.8.3;Pengolahan Hasil dan Pemasaran
500.18.8.4;Lembaga Ekonomi dan permodalan
500.18.9;Pengembangan Sarana dan Prasarana Kawasan
500.18.9.1;Analisis dan Standarisasi Sarana dan Prasarana
500.18.9.2;Pengembangan Sarana
500.18.9.3;Pengembangan Prasarana
500.18.9.4;Evaluasi Pengembangan Sarana dan Prasarana
500.18.10;Penyerasian Lingkungan
500.18.10.1;Persiapan Pengelolaan dan Pemantauan Lingkungan
500.18.10.2;Adaptasi dan Mitigasi Lingkungan
500.18.10.3;Evaluasi Perkembangan Permukiman Transmigrasi
500.18.10.4;Evaluasi Perkembangan Pusat Pertumbuhan
600;PEKERJAAN UMUM DAN KETENAGAAN
600.1;PEKERJAAN UMUM
600.1.1;Kebijakan di bidang Pekerjaan Umum yang dilakukan oleh Pemerintah Daerah
600.1.2;Penatagunaan Sumber Daya Air
600.1.2.1;Perencanaan Wilayah Sungai 
600.1.2.2;Kelembagaan
600.1.2.3;Pemanfaatan Sumber Daya Air
600.1.2.4;Hidrologi dan Lingkungan Sumber Daya Air 
600.1.2.5;Pengaturan dan Pemantauan
600.1.3;Pengembangan Jaringan Sumber Daya Air 
600.1.3.1;Perencanaan Pengelolaan Sumber Daya Air 
600.1.3.2;Manajemen Mutu 
600.1.3.3;Informasi dan Data Sumber Daya Air
600.1.3.4;Keterpaduan Pemrograman
600.1.4;Pengelolaan Sumber Daya Air 
600.1.4.1;Pengelolaan Sungai dan Pantai 
600.1.4.2;Pengelolaan Irigasi dan Rawa
600.1.4.3;Pengelolaan Bendungan, Danau, Situ, dan Embung 
600.1.4.4;Pengelolaan Air Tanah dan Air Baku 
600.1.5;Operasi dan Pemeliharaan Sumber Daya Air 
600.1.5.1;Operasi dan Pemeliharaan Sungai dan Pantai 
600.1.5.2;Operasi dan Pemeliharaan Irigasi dan Rawa 
600.1.5.3;Operasi dan Pemeliharaan Bendungan, Danau, Situ, dan Embung 
600.1.5.4;Operasi dan Pemeliharaan Air Tanah dan Air Baku 
600.1.5.5;Operasi dan Pemeliharaan Pengendalian Lumpur Sidoarjo 
600.1.6;Pengendalian Lumpur Sidoarjo (Bencana Lokal Lingkup Nasional)
600.1.6.1;Perencanaan Pengendalian Lumpur Sidoarjo
600.1.6.2;Pemrograman Pengendalian Lumpur Sidoarjo 
600.1.6.3;Pelaksanaan Pengendalian Lumpur Sidoarjo 
600.1.6.4;Pengendalian Dampak Sosial, Ekonomi, dan Lingkungan akibat Lumpur Sidoarjo
600.1.6.5;Sistem Manajemen Keselamatan dan Kesehatan Kerja
600.1.7;Pengembangan Jaringan Jalan
600.1.7.1;Keterpaduan Perencanaan
600.1.7.2;Sistem Jaringan Jalan
600.1.7.3;Lingkungan dan Keselamatan Jalan
600.1.8;Pembangunan Jalan
600.1.8.1;Standar dan Pedoman
600.1.8.2;Manajemen Konstruksi
600.1.8.3;Pengelolaan Gedometrik, Perkerasan, dan Drainage
600.1.8.4;Pengelolaan Geoteknik dan Manajemen Lereng
600.1.9;Preservasi Jalan
600.1.9.1;Standar dan Pedoman
600.1.9.2;Perencanaan Teknis
600.1.9.3;Teknik Rekonstruksi
600.1.9.4;Teknik Pemeliharaan Jalan 
600.1.10;Pengelolaan Jembatan
600.1.10.1;Standar dan Pedoman
600.1.10.2;Perencanaan Teknis
600.1.10.3;Teknik Jembatan
600.1.10.4;Teknik Terowongan dan Jembatan Khusus
600.1.11;Pengelolaan Jalan Bebas Hambatan, Perkotaan, dan Fasilitas Jalan Daerah
600.1.11.1;Bimbingan Teknik Jalan Daerah
600.1.11.2;Pengembangan Jalan Metropolitan dan Kota Besar
600.1.11.3;Pembinaan Teknik Jalan Bebas Hambatan 
600.1.12;Pengaturan Jalan Tol
600.1.12.1;Persiapan pengusahaan jalan tol
600.1.12.2;Pengadaan Investasi Jalan Tol
600.1.12.3;Teknik Pengaturan Jalan Tol
600.1.12.4;Pengambilalihan hak pengusahaan jalan tol
600.1.13;Keterpaduan Infrastruktur Permukiman
600.1.13.1;Keterpaduan Perencanaan dan Kemitraan
600.1.13.2;Keterpaduan Pembiayaan dan Pelaksanaan
600.1.14;Pengembangan Kawasan Permukiman
600.1.14.1;Perencanaan Teknis
600.1.14.2;Kawasan Permukiman Perkotaan
600.1.14.3;Kawasan Permukiman Pedesaan
600.1.14.4;Kawasan Permukiman Khusus
600.1.14.5;Kelembagaan
600.1.15;Pembinaan Penataan Bangunan
600.1.15.1;Perencanaan Teknis
600.1.15.2;Penataan Bangunan Gedung
600.1.15.3;Pengelolaan Rumah Negara
600.1.15.4;Penataan Bangunan dan Lingkungan Khusus
600.1.15.5;Kelembagaan
600.1.16;Pengembangan Sistem Penyediaan Air Minum
600.1.16.1;Perencanaan Teknis
600.1.16.2;Sistem Penyediaan Air Minum Perkotaan
600.1.16.3;Sistem Penyediaan Air Minum Pedesaan
600.1.16.4;Sistem Penyediaan Air Minum Khusus
600.1.16.5;Kelembagaan
600.1.16.6;Peningkatan Penyelenggaraan Sistem Penyediaan Air Minum
600.1.16.7;Pengelolaan Laboratorium dan Bengkel Kerja
600.1.17;Pengembangan Penyehatan Lingkungan Permukiman
600.1.17.1;Perencanaan Teknis
600.1.17.2;Pengelolaan Air Limbah
600.1.17.3;Pengelolaan Persampahan
600.1.17.4;Penyehatan Lingkungan Permukiman Khusus
600.1.17.5;Kelembagaan
600.1.17.6;Pengelolaan Laboratorium dan Bengkel Kerja
600.1.18;Pemantauan dan Evaluasi
600.2;PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN
600.2.1;Kebijakan di bidang Perumahan Rakyat dan Kawasan Pemukiman yang dilakukan oleh Pemerintah Daerah
600.2.2;Perencanaan Pembiayaan Perumahan
600.2.2.1;Keterpaduan Perencanaan
600.2.2.2;Strategi Pembiayaan dan Analisa Pasar Perumahan
600.2.2.3;Kemitraan
600.2.3;Pola Pembiayaan Perumahan
600.2.3.1;Pola Pembiayaan Perumahan Rumah Umum
600.2.3.2;Pola Pembiayaan Perumahan Rumah Swadaya dan Mikro Perumahan
600.2.3.3;Pola Investasi Perumahan
600.2.4;Pendayagunaan Sumber Pembiayaan Perumahan
600.2.4.1;Sumber Pembiayaan Primer
600.2.4.2;Sumber Pembiayaan Sekunder
600.2.4.3;Sumber Tabungan Perumahan dan Pembiayaan Lainnya
600.2.4.4;Sistem Pembiayaan Perumahan
600.2.4.5;Pengelolaan Dana Pembiayaan Perumahan
600.2.5;Perencanaan Penyediaan Perumahan
600.2.5.1;Keterpaduan Perencanaan
600.2.5.2;Analisa Teknik
600.2.5.3;Rencana Pengembangan Lingkungan Hunian
600.2.5.4;Kemitraan dan Kelembagaan
600.2.6;Penyediaan Rumah Susun
600.2.6.1;Perencanaan Teknik
600.2.6.2;Penyediaan
600.2.6.3;Penghunian, Pengalihan, dan Pemanfaatan
600.2.6.4;Pengelolaan
600.2.7;Penyediaan Rumah Khusus
600.2.7.1;Perencanaan Teknik
600.2.7.2;Penyediaan dan Pengelolaan Rumah Tapak Khusus
600.2.7.3;Bimbingan teknis dan supervisi
600.2.7.4;Penyelenggaraan Bantuan Rumah Swadaya
600.2.7.5;Perencanaan Teknik
600.2.7.6;Fasilitas Backlog Rumah Swadaya dan Rumah Tidak Layak Huni
600.2.7.7;Pelaksanaan Bantuan Simultan
600.2.8;Penyediaan Rumah Umum dan Komersial
600.2.8.1;Perencanaan Teknik
600.2.8.2;Pemberian Bantuan Rumah Umum
600.2.8.3;Fasilitasi Hunian Berimbang
600.2.8.4;Fasilitasi Penyediaan Lahan Perumahan
600.2.9;Investasi Infrastruktur
600.2.9.1;Pelaksanaan Kebijakan Investasi Infrastruktur
600.2.9.2;Sinkronisasi Investasi Infrastruktur
600.2.9.3;Fasilitasi dan Mitigasi Risiko Investasi Infrastruktur
600.2.9.4;Pasar Infrastruktur
600.2.10;Penyelenggaraan Jasa Konstruksi
600.2.10.1;Sistem Penyelenggaraan
600.2.10.2;Kontrak Konstruksi
600.2.10.3;Konstruksi Berkelanjutan
600.2.10.4;Manajemen Mutu
600.2.11;Kelembagaan dan Sumber Daya Konstruksi
600.2.11.1;Kelembagaan
600.2.11.2;Material dan Peralatan Konstruksi
600.2.11.3;Teknologi Konstruksi dan Produksi Dalam Negeri
600.2.11.4;Usaha Jasa Konstruksi
600.2.12;Kompetensi dan Produktivitas Konstruksi
600.2.12.1;Standar dan Materi Kompetensi
600.2.12.2;Penerapan Kompetensi
600.2.12.3;Pengembangan Profesi Jasa Konstruksi
600.2.12.4;Pengembangan Produktivitas
600.2.13;Peningkatan Kerjasama dan Pemberdayaan Jasa Konstruksi
600.2.13.1;Peningkatan Kerjasama
600.2.13.2;Pemberdayaan Jasa Konstruksi
600.2.14;Peningkatan Jasa Konstruksi
600.2.14.1;Koordinasi dan Sinkronisasi Rencana Kerja
600.2.14.2;Pelaksanaan Pengendalian Mutu
600.2.15;Penerapan Teknologi Konstruksi
600.2.15.1;Koordinasi, Sinkronisasi, dan Kerjasama Penerapan Teknologi Konstruksi
600.2.15.2;Pengembangan Materi
600.2.15.3;Pendayagunaan Material dan Peralatan Konstruksi
600.2.16;Rencana Pengembangan Infrastruktur Pekerjaan Perumahan Rakyat (PUPR) 
600.2.16.1;Antar Sektor
600.2.16.2;Antar Wilayah
600.2.17;Pengembangan Kawasan Strategis
600.2.17.1;Keterpaduan Infrastruktur Kawasan Strategis
600.2.17.2;Pengembangan Infrastruktur Antarkawasan Strategis
600.2.18;Pengembangan Kawasan Perkotaan
600.2.18.1;Pengembangan Infrastruktur Kawasan Metropolitan
600.2.18.2;Pengembangan Infrastruktur Kawasan Kota Besar dan Kota Baru
600.2.18.3;Pengembangan Infrastruktur Kawasan Kota Kecil dan Pedesaan
600.2.18.4;Analisa Manfaat dan Skema Pembiayaan
600.2.18.5;Sinkronisasi Program dan Pembiayaan Infrastruktur Perumahan Rakyat (PUPR) 
600.2.19;Pemantauan dan Evaluasi
600.3;TATA RUANG (TATA KOTA)
600.3.1;Kebijakan di bidang Tata Ruang yang dilakukan Pemerintahan Daerah
600.3.2;Perencanaan 
600.3.2.1;Tata Ruang Wilayah Kabupaten (RT/RW)
600.3.2.2;Rencana Detail Tata Ruang (RDTR)
600.3.2.3;Rencana Tata Ruang Strategis Kabupaten
600.3.2.4;Rencana Tata Bangun Lingkungan (RTBL)
600.3.2.5;Rencana Pengembangan Sistem Sarana dan Prasarana Kabupaten
600.3.2.6;Rencana Teknis Prasarana Kota
600.3.2.7;Rencana Teknis Rencana Peremajaan dan Pengembangan Kotas Prasarana Kota
600.3.3;Pemanfaatan dan Pengendalian
600.3.3.1;Evaluasi dan Pengawasan Penata Ruang
600.3.3.2;Ijin Pemanfaatan Ruang
600.3.3.3;Pembatalan Ijin Pemanfaatan Ruang
600.3.4;Pemetaan
600.3.4.1;Peta Dasar
600.3.4.2;Survey Pemetaan Ruang Darat
600.3.4.3;Survey Pemetaan Ruang Air
600.3.4.4;Survey Pemetaan Ruang Udara
600.4;LINGKUNGAN HIDUP
600.4.1;Kebijakan di bidang Lingkungan Hidup yang dilakukan oleh Pemerintah Daerah
600.4.2;Perencanaan Pemanfaatan Sumber Daya Alam dan Lingkungan Hidup
600.4.2.1;Inventarisasi, Penerapan ekoregion, dan rencana perlindungan dan pengelolaan Lingkungan 
600.4.2.2;Evaluasi Pemanfaatan Sumber Daya Alam 
600.4.3.1;Evaluasi Penerapan 
600.4.3.2;Perencanaan Lingkungan Hidup
600.4.4;Ekonomi Lingkungan 
600.4.5;Dampak Lingkungan 
600.4.5.1;Bimtek Dampak Lingkungan 
600.4.5.2;Penerapan sistem kebijakan Dampak lingkungan 
600.4.5.3;Evaluasi dan Tindak Lanjut 
600.4.6;Pemantauan dan Pengawasan 
600.4.6.1;Manufaktur Prasarana dan Jasa 
600.4.6.2;Pertambangan Energi, Minyak dan Gas
600.4.6.3;Agro Industri dan Usaha Skala Kecil 
600.4.6.4;Udara Sumber Bergerak 
600.4.7;Evaluasi dan Pengembangan 
600.4.7.1;Manufaktur, Prasarana  dan Jasa 
600.4.7.2;Pertambangan Energi, Minyak dan Gas
600.4.7.3;Agro Industri dan Usaha Skala Kecil 
600.4.7.4;Udara Sumber Bergerak 
600.4.8;Keanekaragaman Hayati dan pengendalian Kerusakan Lahan 
600.4.8.1;Pengembangan 
600.4.8.2;Pemanfaatan
600.4.8.3;Pengelolaan Sumber Daya Genetik 
600.4.8.4;Keamanan Hayati 
600.4.8.5;Pengendalian kerusakan Lahan 
600.4.9;Kerusakan Ekosistem Perairan Darat 
600.4.9.1;Kerusakan Ekosistem 
600.4.9.2;Rawa
600.4.10;Mitigasi dan pelestarian Fungsi Atmosfer 
600.4.10.1;Perangkat mitigasi
600.4.10.2;Inventarisasi Emisi Gas Rumah Kaca 
600.4.10.3;Pengendalian Bahan Perusak Ozon 
600.4.10.4;Pengendalian Kerusakan Akibat Kebakaran Hutan dan Lahan 
600.4.11;Adaptasi Perubahan Iklim
600.4.11.1;Perangkat Adaptasi Perubahan Iklim antara lain : Pengembangan perangkat Adaptasi Perubahan Iklim, Pemantauan dan Evaluasi Adaptasi Perusahaan Iklim 
600.4.11.2;Kerentanan Perubahan Iklim 
600.4.12;Pengelolaan Bahan Berbahaya dan Beracun 
600.4.12.1;Registrasi dan Notifikasi 
600.4.12.2;Pemantauan Bahan Berbahaya dan Beracun 
600.4.12.3;Evaluasi dan Tindak Lanjut 
600.4.13;Verifikasi Pengelolaan Limbah bahan Berbahaya dan beracun 
600.4.13.1;Pengumpulan dan pemanfaatan 
600.4.13.2;Pengangkutan dan Pengolahan 
600.4.13.3;Penimbunan dan Dumping 
600.4.13.4;Notifikasi dan Rekomendasi Limbah Lintas batas 
600.4.14;Pengelolaan Limbah B3 dan Pemulihan Kontaminasi Limbah  B3
600.4.14.1;Pemantauan 
600.4.14.2;Tanggap darurat dan pemelihan  Kontaminasi 
600.4.15;Pengelolaan Sampah 
600.4.15.1;Pembatasan sampah
600.4.15.2;Daur Ulang dan Pemanfaatan Sampah
600.4.15.3;Pembentukan Dewan Adipura 
600.4.15.4;Penetapan pemenang adipura
600.4.16;Hukum Administrasi Lingkungan 
600.4.16.1;Pengelolaan dan pengembangan pengaduan
600.4.16.2;Penataan hukum administrasi lingkungan 
600.4.17;Penyelesaian Sengketa Lingkungan
600.4.17.1;Penyelesaian sengketa Melalui Pengadilan
600.4.17.2;Penyelesaian sengketa lingkungan di luar pengadilan
600.4.18;Penegakan hukum pidana lingkungan
600.4.18.1;Penyidikan 
600.4.18.2;Koordinasi penuntutan, evaluasi, dan tindak lanjut
600.4.18.3;Koordinasi pembinaan penyidik PNS
600.4.19;Komunikasi Lingkungan
600.4.19.1;Pengembangan Komunikasi
600.4.19.2;Publikasi dan Kampanye
600.4.20;Penguatan Inisiatif Masyarakat
600.4.20.1;Komunitas Pendidikan Lingkungan
600.4.20.2;Kearifan Lingkungan
600.4.21;Peningkatan Peran Masyarakat
600.4.21.1;Masyarakat Perkotaan
600.4.21.2;Masyarakat Pedesaan
600.4.22;Peningkatan Peran Organisasi Kemasyarakatan
600.4.22.1;Organisasi Sosial Masyarakat
600.4.22.2;Organisasi Profesi Dunia Usaha
600.4.23;Data dan Informasi Lingkungan
600.4.23.1;Pengelolaan Data
600.4.23.2;Pengelolaan Informasi
600.4.23.3;Pengembangan Perangkat Lunak
600.4.23.4;Pengembangan Sistem dan Layanan Jaringan
600.4.24;Kelembagaan Lingkungan 
600.4.24.1;Kelembagaan dan Tata Laksana
600.4.24.2;Fasilitasi Standar Pelayanan Minimal
600.4.25;Standarisasi dan teknologi
600.4.25.1;Standarisasi Manajemen dan dan Pengujian Lingkungan
600.4.25.2;Standarisasi Kompetensi Keahlian dan Lembaga Penyedia Jasa Lingkungan
600.4.25.3;Teknologi Ramah Lingkungan
600.4.26;Pusat Sarana Pengendalian Dampak Lingkungan
600.4.26.1;Pemantauan dan Kajian Kualitas Lingkungan
600.4.26.2;Laboratorium Rujukan dan Pengujian
700;PENGAWASAN
700.1;PENGAWASAN INTERNAL
700.1.1;Rencana Pengawasan
700.1.1.1;Rencana Strategis Pengawasan
700.1.1.2;Rencana Kerja  Pengawas Tahunan
700.1.1.3;Rencana Kinerja Tahunan
700.1.1.4;Rencana dan Penetapan Kinerja Tahunan
700.1.1.5;Rakor Pengawasan Tingkat Daerah
700.1.2.1;Laporan Hasil Audit (LHA),  Laporan Hasil Pemeriksaan (LHP), Laporan Hasil  Pemeriksaan Operasional (LHPO), Laporan Hasil Evaluasi (LHE), Laporan Akuntan (LA), Laporan Auditor Independen (LAI) yang memerlukan tindak lanjut (TL)
700.1.2.2;Laporan Hasil Audit Investigasi (LHAI) yang mengandung unsur Tindak Pidana Korupsi (TPK) dan memerlukan tindak lanjut
700.1.2.3;Laporan Hasil Audit Investigasi (LHAI) yang mengandung unsur Tindak Pidana Korupsi (TPK) dan tidak memerlukan tindak lanjut
700.1.2.4;Laporan Perkembangan Penanganan Surat Pengaduan Masyarakat
700.1.2.5;Laporan Pemutakhiran Data Tindak Lanjut Temuan
700.1.2.6;Laporan Perkembangan Barang Milik Negara
700.1.2.7;Laporan Hasil Monitoring dan Evaluasi
700.1.2.8;Laporan Kegiatan Pendampingan Penyusunan Laporan Keuangan dan Review
700.1.2.9;Good Corporate Governance (GCG)
800.1.1;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara
800.1.1.1;Perencanaan Kebutuhan Aparatur Sipil Negara Antara lain : Bahan penyusunan rencana kebutuhan, Analisis Kebutuhan, Pengolahan data kebutuhan
800.1.1.2;Perencanaan Pertimbangan Formasi Antara lain : Pertimbangan teknis penetapan formasi ASN, Pertimbangan teknis penetapan formasi ikatan dinas
